DO_ID	ORPHANET_ID
DOID:0110937	2783
DOID:14503	216
DOID:14503	79262
DOID:0110913	247676
DOID:0110912	99844
DOID:0110910	99842
DOID:0110915	247667
DOID:0110914	247651
DOID:3490	648
DOID:0060169	306
DOID:0060170	36387
DOID:0060173	65283
DOID:0060173	768
DOID:2106	614
DOID:0060179	3242
DOID:0060178	569
DOID:0060182	58220
DOID:13270	79278
DOID:0060184	65279
DOID:0060196	357043
DOID:14557	422
DOID:10983	63
DOID:10970	210141
DOID:0110861	731
DOID:0110854	468717
DOID:0110853	309803
DOID:0110852	309796
DOID:0110851	309789
DOID:8354	280133
DOID:0110825	447760
DOID:0110824	100990
DOID:0110824	447753
DOID:0110823	100989
DOID:0110822	466722
DOID:0110820	459056
DOID:0110829	231183
DOID:0110828	231183
DOID:0110827	231178
DOID:0110826	231169
DOID:9620	289365
DOID:0050786	98634
DOID:0050779	2189
DOID:0050778	564
DOID:0050777	475
DOID:0050776	777
DOID:0050769	2608
DOID:9649	651
DOID:0050768	254913
DOID:0050766	2388
DOID:0050764	85276
DOID:332	803
DOID:397	75249
DOID:2058	1334
DOID:10487	388
DOID:0110182	99937
DOID:0110181	466768
DOID:0110187	391351
DOID:0110186	99950
DOID:0110185	99948
DOID:0110184	139515
DOID:0110183	99949
DOID:0110171	443073
DOID:0110170	329258
DOID:0110179	101101
DOID:0110178	447964
DOID:0110177	228174
DOID:0110176	466775
DOID:0110175	284232
DOID:0110174	99945
DOID:0110173	397735
DOID:0110169	300319
DOID:0110160	443950
DOID:0110168	435387
DOID:0110167	101097
DOID:0110166	101102
DOID:0110165	99939
DOID:0110164	99938
DOID:0110163	99940
DOID:0110161	397968
DOID:0110159	99936
DOID:0110158	99942
DOID:14004	91387
DOID:0110157	99943
DOID:0110156	98856
DOID:0110155	99947
DOID:0110154	99946
DOID:0110153	90658
DOID:0110152	101082
DOID:0110151	101083
DOID:0110150	101084
DOID:0110149	101085
DOID:0110148	101081
DOID:0110193	99952
DOID:0110192	99954
DOID:0110191	99955
DOID:0110190	99956
DOID:0110199	100045
DOID:0110198	369867
DOID:0110197	100044
DOID:0110196	99953
DOID:0110195	99951
DOID:0110194	363981
DOID:4621	2162
DOID:4624	296
DOID:0110117	268114
DOID:0110116	275517
DOID:0110112	1479
DOID:9562	244
DOID:9563	60033
DOID:10426	2345
DOID:11720	399086
DOID:11720	399096
DOID:11720	5448
DOID:11720	59135
DOID:11720	63273
DOID:11724	263
DOID:11725	199
DOID:11726	261
DOID:11726	98853
DOID:11726	98855
DOID:11726	98863
DOID:446	235936
DOID:3246	99757
DOID:3265	379
DOID:4534	2108
DOID:4535	55654
DOID:0110292	206564
DOID:0110290	476084
DOID:0110299	34515
DOID:0110298	206559
DOID:0110297	86812
DOID:0110296	206554
DOID:0110295	352479
DOID:0110294	363623
DOID:0110293	280333
DOID:0110281	34514
DOID:0110280	219
DOID:0110289	424261
DOID:0110288	466801
DOID:0110287	369840
DOID:0110286	363543
DOID:0110285	254361
DOID:0110284	206549
DOID:0110283	140922
DOID:0110282	1878
DOID:0110279	119
DOID:0110278	62
DOID:0110277	353
DOID:0110276	268
DOID:0110275	267
DOID:0110274	102015
DOID:0110273	102014
DOID:3210	702
DOID:420	79365
DOID:0110214	99772
DOID:0110213	2014
DOID:0110212	101078
DOID:0110211	101077
DOID:0110210	99014
DOID:0110209	101075
DOID:0110208	101076
DOID:0110207	352675
DOID:0110206	352670
DOID:0110205	93114
DOID:0110204	254334
DOID:0110203	435998
DOID:0110202	100043
DOID:0110201	217055
DOID:0110200	100046
DOID:0110267	98994
DOID:0050144	98861
DOID:0110254	98985
DOID:0110248	98984
DOID:8158	169150
DOID:0050120	540
DOID:0110232	98990
DOID:12971	822
DOID:12930	217604
DOID:9406	95494
DOID:0080033	1522
DOID:4448	279
DOID:3144	209
DOID:3132	101330
DOID:3133	100924
DOID:14264	1949
DOID:14227	217034
DOID:5723	98673
DOID:0110334	216796
DOID:10629	35612
DOID:10608	555
DOID:10609	289157
DOID:0110306	55596
DOID:0110305	34516
DOID:0110304	55595
DOID:0110303	238755
DOID:0110302	265
DOID:0110301	264
DOID:14179	47
DOID:11984	155
DOID:0110300	266
DOID:3191	607
DOID:10632	3463
DOID:230	35689
DOID:0080193	420402
DOID:206	321
DOID:0080173	322
DOID:0080174	93930
DOID:0080181	171848
DOID:5688	902
DOID:3012	524
DOID:11824	139436
DOID:9263	394
DOID:9261	150
DOID:9269	511
DOID:9255	282
DOID:9258	3440
DOID:9258	895
DOID:0110440	217622
DOID:9270	56
DOID:9274	2203
DOID:9273	187
DOID:0110425	300751
DOID:0110489	90636
DOID:9246	85458
DOID:10581	512
DOID:10584	791
DOID:10591	275555
DOID:0050335	75374
DOID:0080109	2591
DOID:3070	182067
