DO_ID	ICD10CM_ID
DOID:2998	C62.90
DOID:1650	C50.61
DOID:1657	Q21.0
DOID:2988	D68.61
DOID:2987	E85.0
DOID:1659	C71.0
DOID:1682	Q24.9
DOID:1681	Q21
DOID:1681	Q21.9
DOID:1680	N30.2
DOID:1686	H40
DOID:1686	H40-H42
DOID:1686	H40.9
DOID:1673	J93.1
DOID:1672	J93.0
DOID:1679	N30
DOID:1679	N30.9
DOID:1678	N30.1
DOID:1677	O44.0
DOID:1618	D24
DOID:2951	T75.3
DOID:2952	H80-H83
DOID:2952	H83.9
DOID:2952	H83.90
DOID:2957	A15
DOID:2957	A15.0
DOID:1607	E15
DOID:1612	C50
